new entry "Teleportation_Totemist_RelocateTotem"
type "SpellData"
data "SpellType" "Teleportation"
data "TargetRadius" "18"
data "AreaRadius" "18"
data "LineOfSightFlags" "AddSourceHeight"
data "SpellProperties" "GROUND:CreateExplosion(Projectile_Totemist_Totem_Relocate_VFX)"
data "TargetConditions" "CanStand('') and not Character()"
data "OriginTargetConditions" "SummonOwner(context.Target, context.Source) and HasStatus('TOTEMIST_ELEMENTAL_BEAM_TOTEM',context.Target)"
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "Icon" "Icon_Totemist_RelocateTotem"
data "DisplayName" "he17848ecce0141568e0bdced4049f259ef36;1"
data "Description" "h2709d4c55c4a44928394f7a2ee3a5a692af7;1"
data "DescriptionParams" "Distance(18)"
data "TargetSound" "Spell_Impact_Summon_ConjureElemental_Earth_L4to5"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" ""
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;7abe77ed-9c77-4eac-872c-5b8caed070b6,,;cb171bda-f065-4520-b470-e447f678ba1f,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "SpellFlags" "HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;CannotTargetItems;IgnoreSilence;IgnoreVisionBlock"
data "HitAnimationType" "None"
data "CastSound" "Spell_Cast_Summon_ConjureWoodlandBeing_L4to5"
data "PrepareEffect" "7bf288a2-61a1-4e9a-be06-1b31a7e5c204"
data "CastEffect" "c4a3d033-a273-4489-a00c-ba7e52b6f1d5"
data "DisappearEffect" "4e30740e-9c28-47bd-bb4f-b31ccf9b7938"
data "Cooldown" "OncePerTurn"
