<!--DRIDER-->

new entry "Interrupt_SCL_Drider_PsionicVengeance"
type "InterruptData"
data "DisplayName" "hea8bf9adgb4f1g4d6eg9001g79dcf9bc1164;3"
data "Description" "hca4f78e7g276eg4071g9690gb3e68de31770;6"
data "Icon" "Action_Legendary_Offensive"
data "InterruptContext" "OnDeath"
data "InterruptContextScope" "Nearby"
data "Container" "YesNoDecision"
data "Conditions" "IsAbleToReact(context.Observer) and Ally(context.Target,context.Observer) and HasStatus('DRIDER_LEADERSHIP',context.Target)"
data "Properties" "UseSpell(OBSERVER_SOURCE,Target_SCL_Drider_PsionicVengeance,true,true,true)"
data "InterruptDefaultValue" "Ask;Enabled"
data "TooltipDamageList" "DealDamage(6d12,Psychic)"
data "TooltipAttackSave" "Intelligence"
data "TooltipStatusApply" "ApplyStatus(SILENCED,100,3)"
